net,length_um
d2.r_reg\[23\],25.115
d2.r_reg\[75\],25.04
_0739_,24.905
d2.r_reg\[69\],24.895
_0907_,24.84
d5.fll_core.counter1.count\[8\],24.545
d2.r_reg\[85\],24.4
d2.r_reg\[25\],24.38
d2.t_load\[57\],24.34
d2.t_load\[50\],24.325
_0730_,24.315
d2.r_reg\[76\],24.15
_0906_,24.12
_0477_,24.04
d2.r_reg\[56\],24.04
d2.r_reg\[48\],24.025
net12,23.975
d5.fll_core.corner_tmp\[2\],23.895
_0852_,23.575
_0117_,23.5
d2.r_reg\[81\],23.41
d2.t_load\[8\],22.985
_0492_,22.96
_0619_,22.92
_0471_,22.815
_0001_,22.76
d2.t_load\[38\],22.745
d2.r_reg\[92\],22.69
_0822_,22.685
d2.r_reg\[44\],22.54
d2.r_reg\[32\],22.33
_0669_,22.28
d2.r_reg\[87\],22.275
d2.r_reg\[90\],22.23
_0718_,22.18
_0283_,22.12
d2.t_load\[41\],22.095
d2.r_reg\[83\],22.015
d2.r_reg\[57\],21.98
_0866_,21.875
d2.t_load\[40\],21.85
d2.t_load\[53\],21.51
d5.fll_core.counter1.count\[5\],21.47
d2.r_reg\[29\],21.435
_0742_,21.425
d2.r_reg\[50\],21.41
_0399_,21.34
_0532_,21.32
d2.t_load\[36\],21.14
d5.mux01.out\[3\],21.1
d2.r_reg\[36\],21.095
d5.fll_core.counter2.count\[2\],21.05
d2.r_reg\[68\],20.935
_0641_,20.92
d2.r_reg\[51\],20.88
_0894_,20.84
_0832_,20.8
d5.fll_core.counter2.count\[6\],20.8
d2.r_reg\[5\],20.75
_0909_,20.675
_0151_,20.66
d2.r_reg\[63\],20.61
_0349_,20.595
d2.t_load\[22\],20.535
_0180_,20.51
d2.r_reg\[72\],20.455
d2.r_reg\[31\],20.41
_0396_,20.395
d2.t_load\[48\],20.38
_0380_,20.32
d2.r_reg\[6\],20.25
_0721_,20.195
d2.r_reg\[15\],20.11
d2.r_reg\[14\],19.965
d2.r_reg\[71\],19.93
_0789_,19.76
_0496_,19.715
_0744_,19.625
d2.r_reg\[73\],19.61
d5.fll_core.counter1.count\[6\],19.56
_0288_,19.515
_0876_,19.415
net33,19.415
_0829_,19.3
d2.r_reg\[24\],19.3
_0982_,19.24
d2.r_reg\[3\],19.14
_0272_,19.115
_0798_,19.1
d2.r_reg\[60\],19.09
_0867_,19.04
d2.r_reg\[52\],19.035
d2.t_load\[37\],18.99
_0833_,18.855
d2.t_load\[46\],18.845
dac[3],18.84
net45,18.84
d2.r_reg\[82\],18.8
d2.r_reg\[22\],18.695
