net,length_um
d5.fll_core.counter2.count\[2\],24.795
d2.r_reg\[91\],24.79
d2.r_reg\[67\],24.66
_0467_,24.61
_0465_,24.6
d2.t_load\[8\],24.47
d2.r_reg\[79\],24.335
d2.r_reg\[16\],24.155
d2.r_reg\[84\],24.11
_0905_,24.04
d2.t_load\[39\],23.965
_0737_,23.9
d2.r_reg\[31\],23.765
d2.r_reg\[66\],23.595
d2.t_load\[19\],23.59
d2.r_reg\[1\],23.415
d2.r_reg\[6\],23.415
d2.r_reg\[42\],23.38
d2.r_reg\[83\],23.375
d2.t_load\[6\],22.975
d2.t_load\[40\],22.93
d2.t_load\[36\],22.87
d2.r_reg\[71\],22.455
d2.r_reg\[35\],22.25
_0402_,22.14
net14,22.135
_0288_,22.115
d2.t_load\[41\],21.91
d2.r_reg\[87\],21.595
d2.r_reg\[13\],21.555
d5.fll_core.corner_tmp\[2\],21.535
d2.t_load\[95\],21.495
_0127_,21.465
_0528_,21.46
_0441_,21.42
_0990_,21.4
_0965_,21.39
_0934_,21.37
d2.r_reg\[34\],21.37
d2.r_reg\[82\],21.3
d2.t_load\[53\],21.15
_0766_,21.13
_0748_,21.12
d2.r_reg\[33\],20.885
d2.r_reg\[17\],20.77
d2.r_reg\[27\],20.66
_0968_,20.62
_0912_,20.605
d2.r_reg\[62\],20.585
net45,20.56
_0629_,20.46
_0951_,20.455
d2.r_reg\[80\],20.31
d2.t_load\[52\],20.15
_0008_,19.855
dac[4],19.76
_0850_,19.72
_0919_,19.65
d2.r_reg\[73\],19.475
d2.r_reg\[7\],19.305
_0760_,19.285
d2.r_reg\[40\],19.275
d2.r_reg\[56\],19.205
d2.r_reg\[51\],19.195
_0181_,19.18
d2.r_reg\[94\],19.07
d2.t_load\[38\],19.07
d2.r_reg\[15\],19.065
d2.r_reg\[19\],18.995
_0113_,18.99
d2.t_load\[45\],18.955
vbias2[3],18.94
d2.r_reg\[30\],18.93
d2.r_reg\[8\],18.895
_0967_,18.87
_0633_,18.84
d2.r_reg\[45\],18.835
d2.r_reg\[55\],18.735
reset,18.6
_0509_,18.56
d2.t_load\[37\],18.56
_0911_,18.415
d2.r_reg\[9\],18.4
d2.r_reg\[92\],18.395
d2.r_reg\[48\],18.2
d5.fll_core.counter2.count\[0\],18.175
d2.r_reg\[63\],18.165
d2.r_reg\[36\],18.135
d2.r_reg\[54\],18.095
_0054_,18.065
_0343_,18.005
_0966_,17.83
d2.t_load\[46\],17.83
d2.r_reg\[65\],17.81
_0927_,17.775
_0725_,17.76
_0952_,17.755
d2.r_reg\[44\],17.725
_0647_,17.695
_0917_,17.575
net7,17.34
d2.r_reg\[58\],17.25
_0660_,17.22
_0347_,17.205
d2.r_reg\[64\],17.19
d2.r_reg\[72\],17.175
d2.t_load\[48\],17.13
_0000_,17.115
d2.t_load\[49\],17.08
_0903_,16.935
d2.r_reg\[4\],16.915
_0415_,16.88
d2.r_reg\[46\],16.785
d2.r_reg\[14\],16.685
d2.r_reg\[81\],16.65
d2.r_reg\[18\],16.615
d2.t_load\[51\],16.57
_0095_,16.55
_0131_,16.49
_0964_,16.44
_0533_,16.435
d2.r_reg\[29\],16.435
d2.r_reg\[85\],16.275
d2.t_load\[54\],16.2
_0233_,16.185
d2.r_reg\[25\],16.155
d2.t_load\[34\],16.07
_0462_,16.05
d2.r_reg\[77\],15.97
d2.r_reg\[68\],15.875
_0818_,15.855
_0918_,15.81
d2.r_reg\[21\],15.8
d2.r_reg\[22\],15.795
_0729_,15.76
d2.r_reg\[47\],15.75
d2.t_load\[50\],15.75
_0020_,15.715
_0770_,15.57
d2.r_reg\[76\],15.57
d2.t_load\[47\],15.475
d2.r_reg\[49\],15.455
_0851_,15.4
_0916_,15.39
d2.r_reg\[28\],15.37
_0161_,15.3
_0920_,15.175
_0864_,15.155
_0932_,15.1
d2.r_reg\[95\],15.01
_0973_,14.99
_0658_,14.975
_0928_,14.975
vbias2[1],14.94
d2.r_reg\[38\],14.935
_0005_,14.815
_0759_,14.815
d2.r_reg\[59\],14.81
d2.r_reg\[70\],14.8
_0208_,14.795
d2.r_reg\[89\],14.775
_0771_,14.56
d2.t_load\[55\],14.43
_0496_,14.42
_0643_,14.42
_0225_,14.405
d2.r_reg\[88\],14.355
d2.t_load\[24\],14.33
_0623_,14.295
_0508_,14.22
net3,14.215
_0654_,14.02
_0761_,14.015
d2.r_reg\[57\],13.995
_0053_,13.96
_0168_,13.95
_0141_,13.945
_0443_,13.875
_0290_,13.845
d2.t_load\[94\],13.795
d2.t_load\[35\],13.65
_0929_,13.635
_0641_,13.56
_0941_,13.54
_0070_,13.465
d5.mux01.out\[2\],13.395
